Time,Tweet,Comment,Retweet,Like,ImageLink
4:54 AM - 3 Nov 2016,b'#IDRL S01E01 Third Place Winner Manjunath M. is all smiles. Thank you @quadkopters! #indiandroneracingleague #droneracingindia #dronespic.twitter.com/TuUaN0xYqx',0,0,1,
4:52 AM - 3 Nov 2016,b'Viewers are glued to large screens for field action as #IDRL S01E01 - The Revolution judges review race results. #indiandroneracingleaguepic.twitter.com/YQS4VPfA1I',0,0,1,
4:50 AM - 3 Nov 2016,b'Some of the wonderful members of Team @amalthea_iitgn who helped execute #IDRL S01E01 - The Revolution. #indiandroneracingleague #droneracepic.twitter.com/1dwqigyt1E',0,1,3,
4:45 AM - 3 Nov 2016,b'Winner of #IDRL S01E01 - The Revolution @amalthea_iitgn being given the cash prize plus @FatsharkRC Dom V3 goggles. Thank you @VarunaPumpspic.twitter.com/cySoD4Ndv3',0,2,6,
4:42 AM - 3 Nov 2016,b'A closeup of one of the quads at #IDRL S01E01 - The Revolution @amalthea_iitgn. #indiandroneracingleague #droneracingindia #dronespic.twitter.com/l1dFx6k0NI',0,0,2,
4:40 AM - 3 Nov 2016,b'Let The Revolution begin @amalthea_iitgn. #IDRL S01E01 drones on the launchpad. #indiandroneracingleague #droneracingindia #dronespic.twitter.com/nCCqEg8sYh',0,1,3,
4:38 AM - 3 Nov 2016,b'Pro Pilot Mateen Baig having some fun practice time before race day at #IDRL S01E01 - The Revolution @amalthea_iitgn. #indiandroneracingpic.twitter.com/ZUWef06InW',0,1,3,
4:35 AM - 3 Nov 2016,b'Pro Pilot #KenFPV is a calm and relaxed customer at #IDRL S01E01 - The Revolution @amalthea_iitgn. #indiandroneracingleague #droneracingpic.twitter.com/dAmQgGKd9U',0,1,3,
4:33 AM - 3 Nov 2016,b'#FlyingSID in a positive frame of mind at #IDRL S01E01 - The Revolution @amalthea_iitgn. #indiandroneracingleague #droneracingindia #dronespic.twitter.com/y5v09Au8GH',0,2,4,
4:31 AM - 3 Nov 2016,b'Main Gate displaying our sponsors at #IDRL S01E01 - The Revoluton @amalthea_iitgn. #indiandroneracingleague #droneracingindia #droneracingpic.twitter.com/QJcqN60IAo',0,1,2,
4:28 AM - 3 Nov 2016,b'Pro Pilot @bampi2k checking his quad setup on race day at #IDRL S01E01 - The Revolution @amalthea_iitgn #indiandroneracingleague #droneracepic.twitter.com/C3kxEi9JfD',0,2,6,
